State,City,College_name,College_URL,Department,Course_short,Course_full,Description,Course_url,img_url,related_jobs,course_code
Karnataka,Bangalore,CHRIST(Deemed to be University),https://www.christuniversity.in/,Computer Science,BCA (CU),Bachelor of Computer Applications,"Bachelor of Computer Applications is a 3-year undergraduate programme. It is extended over six semesters. The course is designed to bridge the gap between IT industries and institutes by incorporating the latest developments into the curriculum. CHRIST (Deemed to be University) has an excellent group of dedicated faculty and experts from the IT industry, guiding the students. An exclusive and well-equipped lab for the department with a network of latest microprocessor based computers and software installed, provides hands-on training in various fields of computers, for a very fast leased internet line which helps the students to update themselves with the recent trends in the industry. The university has a placement cell to guide our young software professionals seeking, career opportunities in the IT industry.",https://christuniversity.in/school-of-sciences/computer-science/bachelor-of-computer-applications-(bca),https://images.unsplash.com/photo-1547394765-185e1e68f34e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,EAS
Karnataka,Bangalore,CHRIST(Deemed to be University),https://www.christuniversity.in/,Computer Science,BSc CMS (CU),"Bachelor of Science in Computer Sc, Maths, Statistics ",,https://christuniversity.in/school-of-sciences/computer-science/bachelor-of-science-(bsc)2,https://images.unsplash.com/photo-1600493033157-eed3fbe95d96?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,RIE
Karnataka,Bangalore,CHRIST(Deemed to be University),https://www.christuniversity.in/,Computer Science,BSc CME (CU),"Bachelor of Science in Computer Sc, Maths, Electronics",,https://christuniversity.in/school-of-sciences/computer-science/bachelor-of-science-bsc-in-computer-sc-maths-electronics-cme,https://images.unsplash.com/photo-1580706483913-b6ea7db483a0?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=937&q=80,,ESR
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc Animation,"Bachelor of Science in Animation with International Moving Image Society, UK ","Jain (Deemed-to-be University) offers B.Sc in Animation to prepare students for the animation industry. The course teaches students the art of breathing life into characters, various concepts about visualization, imagination, sketching, coloring techniques through which they can bring out the expression and essence of the characters. It trains them to showcase their creativity and imagination, and develop the right aptitude.",https://www.jainuniversity.ac.in/program/science/animation-with-international-moving-image-society-uk,https://images.unsplash.com/photo-1439436556258-1f7fab1bfd4f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,IRS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc BcGBt,"Bachelor of Science in Biochemistry, Genetics and Biotechnology  ","The program, B.Sc. in Biochemistry, Genetics, and Biotechnology offered at Jain (Deemed-to-be University) gives students an added advantage to widen their knowledge and concepts.

B.Sc. in Biochemistry, Genetics, and Biotechnology is a study of all living forms, micro and macro organisms. Genetics deals with the study of genes carrying information and determines the inheritance of the features in living organisms. Biochemistry is a study of molecular science that deals with living processes by considering an organism’s biological molecules like their functions and interactions with themselves as well as the molecules in the environment. Biotechnology is a combination of biology and technology which deals with the aspects of using living systems ranging from microorganisms to macroscopic systems for the benefit of human kind.

The program will prepare students to pursue research and higher studies such as MSc or PhD, and develop scientific aptitude and critical thinking in them.",https://www.jainuniversity.ac.in/program/science/biochemistry-genetics-and-biotechnology,https://images.unsplash.com/photo-1575503802870-45de6a6217c8?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,IRE
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc CMBt,"Bachelor of Science in Chemistry, Microbiology, Biotechnology ","The program, B.Sc in Chemistry, Microbiology and Biotechnology at Jain (Deemed-to-be University) provides students with the knowledge of life sciences and concepts of chemistry such as thermodynamics, chemical bonding, bio chemistry and other aspects of chemistry. It gives a holistic approach with equal emphasis on all three core subjects. The course is application oriented and will enable students to develop scientific and critical thinking abilities.",https://www.jainuniversity.ac.in/program/science/biotechnology-chemistry-and-microbiology,https://images.unsplash.com/photo-1578496479531-32e296d5c6e1?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=634&q=80,,IRS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc in Digital Film Making,"Bachelor of Science in Digital Film Making integrated with International Moving Image Society, UK ","The minimum qualification required to apply is a pass in the 10+2 Science, Commerce, Arts examination in PUC / ISC / CBSE or an equivalent board with Physics, Chemistry and Biology as core subjects.",https://www.jainuniversity.ac.in/program/science/digital-film-making-integrated-with-imis-uk-chartered-body,https://images.unsplash.com/photo-1553377102-31f26497d1d9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=634&q=80,,SEI
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc Gamming,"Bachelor of Science in Gaming with International Moving Image Society, UK ","Jain (Deemed-to-be University) offers one of the most popular career choices among the youth, that is, B.Sc in Gaming. The course is designed in a way where students will learn the principle method of designing gaming code, principles of programing, and creative writing and designing. B.Sc in Gaming is integrated with International Moving Image Society, UK (Chartered Body). International Moving Image Society (IMIS) was born out of the British Kinematograph, Sound and Television Society (BKSTS) in 2016. The BKSTS originated from the London Branch of Society of Motion Picture Engineers (now known as SMPTE). The mission of IMIS is to serve technical and creative skills in the fields of animation, gaming, feature films, television, commercials, music videos, and short films as well as techniques for future emerging formats for consumption for its members.",https://www.jainuniversity.ac.in/program/science/gaming-integrated-with-international-moving-image-society-uk-chartered-body,https://images.unsplash.com/photo-1585620385456-4759f9b5c7d9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,RIS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc PMCs,"Bachelor of Science in Physics, Mathematics, Computer Science ","The course, B.Sc in Physics, Mathematics, and Computer Science provides a comprehensive understanding of the concepts pertaining to the three subjects and strives to meet the ever growing demands of the industries and prepare students for higher studies and research.

The course is application oriented that develops scientific and critical thinking abilities in students. The graduates in B.Sc. PMCs are in high demand from a broad range of employers, with varying career options.",https://www.jainuniversity.ac.in/program/science/physics-mathematics-computer-science-with-british-computer-society-uk,https://images.unsplash.com/photo-1528082992860-d520150d6f6c?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=634&q=80,,IRS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc RePCs,"Bachelor of Science in Renewable Energy, Physics, Computer Science ","With the fast depletion of energy resources, environment pollution, and global warming increasing at an alarming rate, a degree in Renewable Energy is the need of the hour. The B.Sc degree in Renewable Energy offered at Jain (Deemed-to-be University) teaches students about management and technical skills for efficient use of renewable energy sources like solar energy, wind energy etc. They will also learn the uses of clean energy, manufacturing and promotion of renewable energy, and how an energy conservation system can reduce the major challenges our environment is facing today.

This program with the combination of Computer Science and Physics will help students deal with the technology and Physics behind the natural resources. As the government rolls out various renewable energy policies and benefits, there will soon be a rising demand for subject experts in the field of renewable energy, particularly in the field of solar and wind energy. Use of renewable energy helps to reduce carbon footprint and helps society deal with issues like global warming.",https://www.jainuniversity.ac.in/program/science/renewable-energy-physics-computer-science-integrated-with-energy-institute-uk,https://images.unsplash.com/photo-1474631245212-32dc3c8310c6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=924&q=80,,ESR
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc Graphics & VFX,Bachelor of Science in Graphics & VFX with Arena Certified Expert in Graphic Design & VFX,"Jain (Deemed-to-be University) in association with Arena Animation offers dual certification courses to students, wherein the students will be a part of Jain (Deemed-to-be University) and get Arena Animation’s skill development certification. Today’s growing young population calls for a perpetually expanding media and entertainment Industry with an even wider range of viewing options than before. The Graphics and VFX Course is a comprehensive course that trains student’s end-to-end in all aspects of graphic design, visual effects, fundamentals and techniques of VFX, Animation - 2D and 3D, typography, digital filmmaking, FX, Dynamics and simulation to make them job-ready.

Jain (Deemed-to-be University) in association with Arena Animation offers dual certification courses to students, wherein the students will be a part of Jain (Deemed-to-be University) and get Arena Animation’s skill development certification. Today’s growing young population calls for a perpetually expanding media and entertainment Industry with an even wider range of viewing options than before. The Graphics and VFX Course is a comprehensive course that trains student’s end-to-end in all aspects of graphic design, visual effects, fundamentals and techniques of VFX, Animation - 2D and 3D, typography, digital filmmaking, FX, Dynamics and simulation to make them job-ready.

",https://www.jainuniversity.ac.in/program/science/graphics-vfx-with-arena-certified-expert-in-graphic-design-vfx,https://images.unsplash.com/photo-1602110531563-82401450a592?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,IRS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc Forensic Science,Bachelor of Science (Professional)in Forensic Science,"Forensic Science has become the most crucial part of modern judicial system. The course, B.Sc in Forensic Science at Jain (Deemed-to-be-University) a 3-year graduate course deals with the application of scientific knowledge in crime investigation and the study of the human anatomy. In this course, students learn all aspects of forensic science such as how clues can be collected from a crime scene, physical evidence such as hair, blood, and fingerprints that are taken to the laboratories to present them as evidence in court. The course will enable students to develop scientific principles of conducting investigation, technical skills, scientific aptitude, and an inquisitive mind with keen observational skills, and prepare them to handle work pressure that can come from the judiciary, police, and administration besides, highlighting the importance of ethics as a working professional. With the increasing crime rates in India, the demand for forensic scientists has only been growing.

",https://www.jainuniversity.ac.in/program/science/forensic-science,https://images.unsplash.com/photo-1503500684848-e0b13e4781eb?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60,,IRS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BSc Data Science and Analytics,"Integrated with Institute of Analytics + Royal Economics Society, UK + Royal Statistical Society ","The course is accredited by Institute of Analytics (IoA) and students will be eligible for graduate membership of IoA after the course completion. They will eligible for membership at the Royal Statistical Society (RSS).

The program instils scientific aptitude, innovative, and critical thinking ability in students to enable them to conduct research and interpret data driven investigation, analyze qualitative and quantitative data through in-depth knowledge, and arrive at scientific solutions. They will also be able to decode patterns and trends of various data, which will lead to effective solutions and making the decision-making process easy.

IoA is a professional body for analytics and data science professionals in UK. It promotes greater awareness, understanding, and innovation in analytics. The RSS is the world’s leading organization to promote the importance of statistics and data, and a professional body for all statisticians and data analysts. Students will be registered as student members at the beginning of the course and will be progressed to graduate membership on graduation.",https://www.jainuniversity.ac.in/program/science/data-science-and-analytics-integrated-with-institute-of-analytics-uk-institute-of-mathematics-uk-royal-statistical-society-uk,https://images.unsplash.com/photo-1523274620588-4c03146581a1?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60,,IES
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BCA in Artificial Intelligence,Bachelor of Computer Application in Artificial Intelligence in collaboration with Wiley,,,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1050&q=80,,IRE
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BCA CTIS,Cloud Technology and Information Security integrated with Certification in CompTIA Cloud Essential / CompTIA Security,,,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,,ASE
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BCA in Cybersecurity,Bachelor of Computer Application in Cybersecurity program in collaboration with EC-Council,,,https://images.unsplash.com/photo-1510511459019-5dda7724fd87?ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,,SEI
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BCA in  Data Analytics,Bachelor of Computer Application in Data Analytics,,,https://images.unsplash.com/photo-1551288049-bebda4e38f71?ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,,IAS
Karnataka,Bangalore,JAIN(Deemed to be University),https://jainuniversity.ac.in/,Computer Science,BCA in Intelligent Process Automation,Intelligent Process Automation integrated with RPA Developer Certificate by UiPath,,,https://images.unsplash.com/photo-1488229297570-58520851e868?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60,,AES
